airline;iata_code;3_digit_code;icao_code;country_or_territory
ABX Air;GB;832;ABX;United States
Aegean Airlines;A3;390;AEE;Greece
Aer Lingus;EI;053;EIN;Ireland
Aero Republica;P5;;RPB;Colombia
Aeroflot;SU;555;AFL;Russian Federation
Aeroitalia;XZ;419;AEZ;Italy
Aerolineas Argentinas;AR;044;ARG;Argentina
Aeromexico;AM;139;AMX;Mexico
Africa World Airlines;AW;394;AFW;Ghana
Afrijet;J7;277;ABS;Gabon
Air Algérie;AH;124;DAH;Algeria
Air Arabia;G9;514;ABY;United Arab Emirates
Air Astana;KC;465;KZR;Kazakhstan
Air Astra;2A;610;AWA;Bangladesh
Air Atlanta Icelandic;CC;318;ABD;Iceland
Air Austral;UU;760;REU;France
Air Baltic;BT;657;BTI;Latvia
Air Botswana;BP;636;BOT;Botswana
Air Cairo;SM;381;MSC;Egypt
Air Caledonie;TY;190;TPC;New Caledonia
Air Cambodia;K6;188;KHV;Cambodia
Air Canada;AC;014;ACA;Canada
Air Caraibes;TX;427;FWI;Guadeloupe
Air Changan;9H;856;CGN;China
Air China;CA;999;CCA;China
Air Corsica;XK;146;CCM;France
Air Dolomiti;EN;101;DLA;Italy
Air Europa;UX;996;AEA;Spain
Air France;AF;057;AFR;France
Air Guilin;GT;730;CGH;China
Air Hong Kong;LD;288;AHK;China
Air Incheon;KJ;994;AIH;Korea
Air India;AI;098;AIC;India
Air Koryo;JS;120;KOR;Korea
Air Macau;NX;675;AMU;China
Air Mauritius;MK;239;MAU;Mauritius
Air Montenegro;4O;400;MNE;Montenegro
Air New Zealand;NZ;086;ANZ;New Zealand
Air Niugini;PX;656;ANG;Papua New Guinea
Air Nostrum;YW;694;ANE;Spain
Air Peace;P4;710;APK;Nigeria
Air Serbia;JU;115;ASL;Serbia
Air Seychelles;HM;061;SEY;Seychelles
Air Tahiti;VT;135;VTA;French Polynesia
Air Tahiti Nui;TN;244;THT;French Polynesia
Air Tanzania;TC;197;ATC;Tanzania
Air Transat;TS;649;TSC;Canada
Air Vanuatu;NF;218;AVN;Vanuatu
AirBridgeCargo Airlines;RU;580;ABW;Russian Federation
Aircalin;SB;063;ACI;New Caledonia
Airline Geosky / Georgian Wings;D4;330;GEL;Georgia
Airlink;4Z;749;LNK;South Africa
Alaska Airlines;AS;027;ASA;United States
Albastar;AP;;LAV;Spain
AlMasria Universal Airlines;UJ;110;LMU;Egypt
Amelia;8R;948;AIA;France
American Airlines;AA;001;AAL;United States
ANA;NH;205;ANA;Japan
APG Airlines;GP;275;RIV;France
Arkia Israeli Airlines;IZ;238;AIZ;Israel
Asiana Airlines;OZ;988;AAR;Korea
ASKY;KP;032;SKK;Togo
ASL Airlines Belgium;3V;756;TAY;Belgium
ASL Airlines France;5O;558;FPO;France
ASL Airlines Ireland;5H;914;ABR;Ireland
Atlantic Airways;RC;767;FLI;Faroe Islands
Atlas Air;5Y;369;GTI;United States
Austrian;OS;257;AUA;Austria
Avianca;AV;134;AVA;Colombia
Avianca Costa Rica;LR;133;LRC;Costa Rica
Avianca Ecuador;2K;547;GLG;Ecuador
Avion Express;X9;;NVD;Lithuania
Avion Express Malta;4X;;MLH;Malta
Azerbaijan Airlines;J2;771;AHY;Azerbaijan
Azores Airlines;S4;331;RZO;Portugal
Azul Brazilian Airlines;AD;577;AZU;Brazil
Badr Airlines;J4;367;BDR;Sudan
Bahamasair;UP;111;BHS;Bahamas
Bamboo Airways;QH;926;BAV;Viet Nam
Bangkok Airways;PG;829;BKP;Thailand
Batik Air;ID;938;BTK;Indonesia
Batik Air Malaysia;OD;816;MXD;Malaysia
Belavia Belarusian Airlines;B2;;BRU;Belarus
Biman Bangladesh Airlines;BG;997;BBC;Bangladesh
Binter Canarias;NT;474;IBB;Spain
Blue Bird Airways;BZ;404;BBG;Greece
BoA Boliviana de Aviacion;OB;930;BOV;Bolivia
Braathens Regional Airways;TF;276;BRX;Sweden
British Airways;BA;125;BAW;United Kingdom
Brussels Airlines;SN;082;BEL;Belgium
Bulgaria Air;FB;623;LZB;Bulgaria
Camair-Co;QC;040;CRC;Cameroon
Capital Airlines;JD;898;CBJ;China
Cargojet Airways;W8;489;CJT;Canada
Cargolux;CV;172;CLX;Luxembourg
Caribbean Airlines;BW;106;BWA;Trinidad and Tobago
Carpatair;V3;021;KRP;Romania
Cathay Pacific;CX;160;CPA;China
Cebu Pacific;5J;203;CEB;Philippines
CemAir;5Z;225;KEM;South Africa
Chalair;CE;980;CLG;France
Challenge Airlines (BE);X7;744;CHG;Belgium
Challenge Airlines (IL);5C;700;ICL;Israel
China Airlines;CI;297;CAL;China
China Cargo Airlines;CK;112;CKK;China
China Eastern;MU;781;CES;China
China Express Airlines;G5;987;HXA;China
China Postal Airlines;CF;804;CYZ;China
China Southern Airlines;CZ;784;CSN;China
China United Airlines;KN;822;CUA;China
CityJet;WX;689;BCY;Ireland
Clic Air;VE;246;EFY;Colombia
Condor;DE;881;CFG;Germany
Congo Airways;8Z;582;CGA;Congo
COPA Airlines;CM;230;CMP;Panama
Corendon Airlines;XC;395;CAI;Turkey
Corsair International;SS;923;CRL;France
Croatia Airlines;OU;831;CTN;Croatia
Cubana;CU;136;CUB;Cuba
Cyprus Airways;CY;078;CYP;Cyprus
DAN AIR;DN;;DNA;Romania
DAT (LT);R6;;DNU;Lithuania
Delta Air Lines;DL;006;DAL;United States
DHL Air;D0;936;DHK;United Kingdom
DHL Aviation;ES;155;DHX;Bahrain
Discover Airlines;4Y;693;OCN;Germany
Eastern Airlines;2D;;;United States
Eastern Airways;T3;467;EZE;United Kingdom
Edelweiss Air;WK;945;EDW;Switzerland
Egyptair;MS;077;MSR;Egypt
EL AL;LY;114;ELY;Israel
Electra Airways;3E;;EAF;Bulgaria
Emirates;EK;176;UAE;United Arab Emirates
Ethiopian Airlines;ET;071;ETH;Ethiopia
Etihad Airways;EY;607;ETD;United Arab Emirates
EuroAtlantic Airways;YU;551;MMZ;Portugal
European Air Transport;QY;615;BCS;Germany
Eurowings;EW;104;EWG;Germany
EVA Air;BR;695;EVA;China
Eznis Airways;MG;116;EZA;Mongolia
Fastjet Zimbabwe;FN;334;FJW;Zimbabwe
FedEx Express;FX;023;FDX;United States
Fiji Airways;FJ;260;FJI;Fiji
Finnair;AY;105;FIN;Finland
FlexFlight;W2;365;FXT;Denmark
Fly Baghdad;IF;017;FBA;Iraq
Fly Namibia;WV;;WAA;Namibia
Fly2Sky;F6;;VAW;Bulgaria
flyadeal;F3;560;FAD;Saudi Arabia
flydubai;FZ;141;FDB;United Arab Emirates
Flynas;XY;593;KNE;Saudi Arabia
FLYONE;5F;130;FIA;Moldova
Freebird Airlines;FH;None;FHY;Turkey
French Bee;BF;396;FBU;France
Fuzhou Airlines;FU;666;FZA;China
Garuda Indonesia;GA;126;GIA;Indonesia
Georgian Airways;A9;606;TGZ;Georgia
German Airways;ZQ;944;GER;Germany
GetJet Airlines;GW;059;GJT;Lithuania
GlobalX;G6;402;GXA;United States
GOL Linhas Aereas;G3;127;GLO;Brazil
Greater Bay Airlines;HB;283;HGB;China
Gulf Air;GF;072;GFA;Bahrain
GX Airlines;GX;872;CBG;China
Hahnair;HR;169;HHN;Germany
Hainan Airlines;HU;880;CHH;China
Hawaiian Airlines;HA;173;HAL;United States
Hebei Airlines;NS;836;HBH;China
Hello Jets;H3;;HLJ;Romania
Heston Airlines;HN;;HST;Lithuania
Hi Fly;5K;;HFY;Portugal
Hi Fly (Malta);3L;;HFM;Malta
Himalaya Airlines;H9;769;HIM;Nepal
Hong Kong Air Cargo;RH;828;HKC;China
Hong Kong Airlines;HX;851;CRK;China
Hong Kong Express Airways;UO;128;HKE;China
IBERIA;IB;075;IBE;Spain
Iberojet Airlines;E9;783;EVE;Spain
Ibom Air;QI;;IAN;Nigeria
Icelandair;FI;108;ICE;Iceland
Ikar;EO;770;KAR;Russian Federation
IndiGo;6E;312;IGO;India
Iran Air;IR;096;IRA;Iran
Iran Airtour Airline;B9;491;IRB;Iran
Iran Aseman Airlines;EP;815;IRC;Iran
Israir;6H;818;ISR;Israel
ITA Airways;AZ;055;ITY;Italy
Japan Airlines;JL;131;JAL;Japan
Japan Transocean Air;NU;353;JTA;Japan
Jazeera Airways;J9;486;JZR;Kuwait
JD Airlines;JG;619;JDL;China
Jeju Air;7C;806;JJA;Korea
JetBlue;B6;279;JBU;United States
Jin Air;LJ;718;JNA;Korea
Jordan Aviation;R5;151;JAV;Jordan
Juneyao Airlines;HO;018;DKH;China
Kam Air;RQ;384;KMF;Afghanistan
Kenya Airways;KQ;706;KQA;Kenya
KLM;KL;074;KLM;Netherlands
KM Malta Airlines;KM;643;KMM;Malta
Korean Air;KE;180;KAL;Korea
Kunming Airlines;KY;833;KNA;China
Kuwait Airways;KU;229;KAC;Kuwait
La Compagnie;B0;002;DJT;France
LAM;TM;068;LAM;Mozambique
Lao Airlines;QV;627;LAO;Lao
LATAM Airlines Brasil;JJ;957;TAM;Brazil
LATAM Airlines Colombia;4C;035;ARE;Colombia
LATAM Airlines Ecuador;XL;462;LNE;Ecuador
LATAM Airlines Group;LA;045;LAN;Chile
LATAM Airlines Paraguay;PZ;692;LAP;Paraguay
LATAM Airlines Peru;LP;544;LPE;Peru
LATAM Cargo Brasil;M3;549;LTG;Brazil
LATAM Cargo Chile;UC;145;LCO;Chile
Link Airways;FC;441;;Australia
Loganair;LM;682;LOG;United Kingdom
Loong Air;GJ;891;CDC;China
LOT Polish Airlines;LO;080;LOT;Poland
Lucky Air;8L;859;LKE;China
Lufthansa;LH;220;DLH;Germany
Lufthansa CityLine;CL;683;CLH;Germany
Luxair;LG;149;LGL;Luxembourg
Madagascar Airlines;MD;258;MGY;Madagascar
Malaysia Airlines;MH;232;MAS;Malaysia
Mandarin Airlines;AE;803;MDA;China
Martinair Cargo;MP;129;MPH;Netherlands
MasAir;M7;865;MAA;Mexico
Mauritania Airlines International;L6;495;MAI;Mauritania
Mavi Gök Airlines (MGA);4M;734;MGH;Turkey
MEA;ME;076;MEA;Lebanon
MIAT Mongolian Airlines;OM;289;MGL;Mongolia
MNG Airlines;MB;716;MNB;Turkey
Myanmar Airways International;8M;599;MMA;Myanmar
Myanmar National Airlines;UB;665;UBA;Myanmar
National Airlines;N8;416;NCR;United States
Nauru Airlines;ON;123;RON;Australia
Neos;NO;703;NOS;Italy
Nesma Airlines;NE;477;NMA;Egypt
New Pacific Airlines;7H;808;RVF;United States
Nile Air;NP;325;NIA;Egypt
Nippon Cargo Airlines;KZ;933;NCA;Japan
Nok Air;DD;596;NOK;Thailand
NordStar;Y7;476;TYA;Russian Federation
Nordwind Airlines;N4;216;NWS;Russian Federation
Nouvelair;BJ;796;LBT;Tunisia
Okay Airways;BK;866;OKA;China
Olympic Air;OA;050;OAL;Greece
Oman Air;WY;910;OMA;Oman
Overland Airways;OF;559;OLA;Nigeria
Pakistan International Airlines;PK;214;PIA;Pakistan
PAL Express;2P;211;GAP;Philippines
Paranair;ZP;445;AZP;Paraguay
Pegasus Airlines;PC;624;PGT;Turkey
Petroleum Air Services;UF;505;PER;Egypt
PGA-Portugalia Airlines;NI;685;PGA;Portugal
Philippine Airlines;PR;079;PAL;Philippines
Plus Ultra;PU;663;PUE;Spain
Polar Air Cargo;PO;403;PAC;United States
PopulAir;HP;415;APF;Sweden
Poste Air Cargo;M4;408;MSA;Italy
Precision Air;PW;031;PRF;Tanzania
Privilege Style;P6;433;PVG;Spain
Qantas;QF;081;QFA;Australia
Qatar Airways;QR;157;QTR;Qatar
Qazaq Air;IQ;;QAZ;Kazakhstan
Qingdao Airlines;QW;912;QDA;China
Red Sea Airlines;4S;;RSX;Egypt
Rossiya Airlines;FV;195;SDM;Russian Federation
Royal Air Maroc;AT;147;RAM;Morocco
Royal Brunei;BI;672;RBA;Brunei Darussalam
Royal Jordanian;RJ;512;RJA;Jordan
Ruili Airlines;DR;299;RLH;China
RusLine;7R;362;RLU;Russian Federation
RwandAir;WB;459;RWD;Rwanda
S7 Airlines;S7;421;SBI;Russian Federation
Safair;FA;640;SFR;South Africa
Salam Air;OV;960;OMS;Oman
SAS;SK;117;SAS;Sweden
SATAAir Acores;SP;737;SAT;Portugal
Saudi Arabian Airlines;SV;065;SVA;Saudi Arabia
SCAT Airlines;DV;655;VSV;Kazakhstan
Scoot;TR;668;TGW;Singapore
SF Airlines;O3;921;CSS;China
Shandong Airlines;SC;324;CDG;China
Shanghai Airlines;FM;774;CSH;China
Shenzhen Airlines;ZH;479;CSZ;China
Sichuan Airlines;3U;876;CSC;China
Silk Way West Airlines;7L;501;AZG;Azerbaijan
Singapore Airlines;SQ;618;SIA;Singapore
SKY Airline;H2;605;SKU;Chile
Sky express;GQ;633;SEH;Greece
Smartavia;5N;316;AUL;Russian Federation
SmartLynx Airlines Malta;2N;;LYX;Malta
Smartwings;QS;797;TVS;Czechia
Solomon Airlines;IE;193;SOL;Solomon Islands
Somon Air;SZ;413;SMR;Tajikistan
South African Airways;SA;083;SAA;South Africa
Southwest Airlines;WN;526;SWA;United States
Southwind Airlines;2S;263;STW;Turkey
SpiceJet;SG;775;SEJ;India
SriLankan Airlines;UL;603;ALK;Sri Lanka
STARLUX Airlines;JX;189;SJX;China
Sun Country Airlines;SY;337;SCX;United States
SunExpress;XQ;564;SXS;Turkey
Suparna Airlines;Y8;871;YZR;China
Swiftair;WT;221;SWT;Spain
SWISS;LX;724;SWR;Switzerland
Syrianair;RB;070;SYR;Syrian Arab Republic
T'way Air;TW;722;TWB;Korea
TAAG Angola Airlines;DT;118;DTA;Angola
TACA;TA;202;TAI;El Salvador
TAG Airlines;5U;411;TGU;Guatemala
Tailwind Airlines;TI;768;TWI;Turkey
TAP Air Portugal;TP;047;TAP;Portugal
TAROM;RO;281;ROT;Romania
Tassili Airlines;SF;515;DTH;Algeria
Thai Airways International;TG;217;THA;Thailand
Thai Lion Air;SL;310;TLM;Thailand
Tianjin Airlines;GS;826;GCR;China
Tibet Airlines;TV;088;TBA;China
TUIfly;X3;617;TUI;Germany
Tunisair;TU;199;TAR;Tunisia
Turkish Airlines;TK;235;THY;Turkey
TUS Airways;U8;034;CYF;Cyprus
ULS Airlines Cargo;GO;444;KZU;Turkey
UNI AIR;B7;525;UIA;China
United Airlines;UA;016;UAL;United States
United Nigeria Airlines;UN;;NUA;Nigeria
UPS Airlines;5X;406;UPS;United States
Ural Airlines;U6;262;SVR;Russian Federation
Urumqi Air;UQ;886;CUH;China
US-Bangla Airlines;BS;779;UBG;Bangladesh
UTair;UT;298;UTA;Russian Federation
Uzbekistan Airways;HY;250;UZB;Uzbekistan
Vietjet;VJ;978;VJC;Viet Nam
Viet Nam Airlines;VN;738;HVN;Viet Nam
Virgin Atlantic;VS;932;VIR;United Kingdom
Virgin Australia;VA;795;VAU;Australia
Voepass Linhas Aereas;2Z;678;PTB;Brazil
Volaris;Y4;036;VOI;Mexico
Volotea;V7;712;VOE;Spain
Vueling;VY;030;VLG;Spain
Wamos Air;EB;460;PLM;Spain
West Air;PN;847;CHB;China
WestJet;WS;838;WJA;Canada
White coloured by you;WI;097;WHT;Portugal
Wideroe;WF;701;WIF;Norway
World2Fly;2W;825;WFL;Spain
Xiamen Airlines;MF;731;CXA;China
YTO Cargo Airlines;YG;860;HYT;China
